activity_date,score,serial_number
10/30/2017,85,DAZHYNYQC
8/4/2015,98,DANBAVG5F
10/7/2016,98,DA6KAIKK5
7/30/2015,96,DAPSA4BEY
7/14/2015,99,DAMU88XSY
7/21/2016,97,DAIB8LGI3
8/16/2016,100,DAK1MUHPZ
10/10/2017,96,DAUN0I10X
4/13/2016,98,DAQT9XRHG
9/15/2016,95,DAIRJUYG5
4/7/2016,96,DARMDQITC
9/26/2017,94,DA0DSDV00
12/2/2015,90,DABWTS0S0
5/19/2016,92,DA7KGOOZN
2/8/2017,94,DAPP6YXCJ
6/14/2016,93,DAK0L9NXQ
11/14/2017,95,DACY4DEJH
12/2/2015,92,DAUDHJTKH
10/3/2016,100,DAKYJLW0M
12/6/2016,95,DA0IEEAJ0
6/13/2017,94,DABBIQRIV
4/5/2016,91,DADS3BZ14
6/22/2016,96,DAB06FWYB
7/8/2015,93,DAVIVQLCN
5/25/2016,95,DABQOSDBP
2/6/2017,99,DA0YJJMZX
11/2/2017,98,DARHWPNHG
5/4/2017,94,DAO6IF0WX
2/2/2016,96,DA0EBH9AB
4/28/2016,97,DAAY0LLKZ
12/7/2016,90,DA2TCA3D6
5/23/2017,75,DA0HNJ0XP
6/7/2016,92,DAXBAMH9H
1/10/2017,95,DAMMAPZ9D
10/13/2015,92,DALWURQ0J
2/23/2016,99,DAWRBATZF
10/17/2017,92,DANTBJKN0
7/11/2016,96,DAAV6EM8E
8/8/2016,97,DAWG3OXWF
6/23/2016,98,DA0IAJW6M
8/3/2017,95,DAE5SJMSU
6/30/2016,90,DACC8CUYY
11/2/2016,91,DAAZWVQQJ
4/1/2016,94,DAWLO2MID
9/14/2016,92,DAEAHOLPH
4/26/2016,93,DAUJZOY0V
11/27/2017,94,DAQD1K2AH
4/5/2016,91,DARMLE28W
1/5/2016,92,DADMTZ1YR
10/10/2017,90,DAKUBECZX
6/30/2016,93,DABISV6WL
2/1/2017,94,DAWHNA38P
3/24/2016,92,DA0ANYHLR
8/9/2016,96,DADA6KQBY
6/1/2017,90,DANOZPV7K
10/1/2015,97,DAOK1MULT
11/10/2015,96,DA0BDMUD9
3/8/2017,91,DA6MAFB98
1/29/2016,93,DA07WGJ5O
3/16/2016,95,DAI0BFWVU
12/1/2015,95,DAQDHLF7R
4/5/2017,95,DAZFPK3E2
1/27/2016,91,DA6NLAXVB
5/23/2017,90,DAWXAYYZT
6/30/2016,95,DAOQDBJU4
3/7/2017,96,DAASXTPN3
12/13/2017,97,DACHNN40S
6/21/2017,90,DACOWWUPS
11/28/2016,95,DAE456MHE
8/29/2016,95,DATJLIFPF
9/21/2017,95,DA0FXZHGY
3/3/2017,97,DAQG6E3BU
6/23/2016,90,DAP0SKX9M
12/14/2017,96,DAFKPQD8V
9/2/2016,98,DAXVD0CHB
3/29/2016,95,DA5GXRPXH
3/22/2016,90,DAANPHXIG
4/6/2016,95,DAVWOEXWC
8/23/2016,92,DA4AS4OD0
2/21/2017,95,DAYWVHFGI
11/19/2015,95,DAG5ATGF0
10/11/2017,93,DASQ5PRRY
6/28/2016,93,DAWREL4U9
9/23/2016,95,DAFI60IOM
10/17/2017,91,DA9WGDZWK
12/8/2015,97,DALUOZOKA
3/25/2016,97,DAEZUKV6L
7/23/2015,91,DAHZT0WKI
6/17/2016,96,DAE61PE0S
11/19/2015,98,DAH7YY0DE
7/16/2016,100,DAAJBJVVP
3/30/2016,94,DALMFAGS1
1/29/2016,98,DA3ZGOL2P
9/8/2017,96,DAOTKOPO7
12/12/2017,92,DASW7CB7O
12/27/2017,91,DASFJ07H5
6/12/2017,99,DAAYNTT1K
12/18/2017,96,DAIHV6D9B
6/15/2017,91,DAAM4DT2A
8/30/2016,91,DA3COKXPF
10/13/2015,90,DAPJEE8P0
9/28/2015,95,DAS9KFDS4
12/23/2015,98,DAXMBLE34
7/5/2016,95,DAPBHJLLF
3/22/2016,90,DAB428HVP
4/18/2016,92,DAP6M6SIU
3/22/2016,96,DAWCP6W5U
7/26/2017,91,DAKFCYZKB
6/20/2016,90,DA5IONGPP
8/18/2015,94,DAXY87TIM
4/27/2016,90,DASBT5RGG
4/12/2016,85,DA29U0DNX
9/19/2017,98,DAUVS5FOE
12/18/2015,94,DACYQY1EE
1/13/2016,95,DARZMFDPW
9/6/2017,95,DAUEOGK1A
6/2/2016,92,DAS7SQ0YS
10/13/2015,91,DA5INQ0PI
9/15/2016,90,DAMM2PFCW
10/7/2015,98,DAJ2JVGED
10/13/2015,98,DATFE0K2E
1/27/2016,95,DAZMPWJWG
9/17/2015,95,DAWYTYZGM
1/7/2016,99,DAS6TDYBH
12/11/2017,93,DAJ5UGOBK
7/14/2016,91,DANOL0XVI
2/17/2017,99,DAB70SUE1
3/2/2016,90,DAQJZFANY
1/29/2016,96,DADJUKVFI
8/5/2015,95,DASXIUBZC
2/29/2016,97,DACDSR437
10/24/2017,95,DABPZCH84
11/9/2017,90,DAC80CWR3
7/20/2017,95,DAC6DFL0F
9/13/2017,93,DA08V0H57
12/20/2016,96,DAMNXLC0M
8/29/2017,90,DAMFAHYRI
10/1/2015,98,DARU1YANJ
10/12/2017,91,DAYURQRU9
2/25/2016,86,DAZKS0UI3
12/27/2017,94,DAQFHQ9KB
5/12/2017,91,DAQ0V7Q4B
10/25/2017,97,DASD23BSF
11/21/2016,93,DAEHCY9L3
12/13/2017,93,DA4IENDNX
8/25/2015,91,DATD1VOI2
7/20/2016,97,DAFAXGO7X
7/14/2016,95,DAQ4VEC0E
7/30/2015,99,DAVJK0OW6
7/26/2017,92,DAJFFXVNV
9/1/2016,95,DABCSEKQF
11/5/2015,93,DANFWAT84
1/31/2017,93,DAB8NAPTT
3/7/2016,90,DA11NK0U3
12/22/2017,96,DA6697ZKX
5/5/2016,95,DATZX5YQT
5/10/2017,90,DAWLMTQUF
11/4/2015,91,DAPATTUAP
4/27/2016,95,DAVXQTP0R
11/7/2016,99,DAFV8OKG4
9/27/2016,98,DA6GW3LGH
3/8/2016,91,DAHGTLDDW
3/2/2017,96,DAJYFY4G8
9/14/2016,87,DAKHPUCJM
7/26/2017,96,DARNJKWRS
7/19/2016,95,DAZ1PC2BX
4/7/2017,90,DA0W0UQX0
5/30/2017,84,DAMLR9PY9
11/25/2015,99,DA130A4V5
8/24/2016,96,DARP9ZG09
2/1/2017,97,DANYXGP9Y
11/1/2016,95,DA6BWFBRE
8/10/2016,100,DAFH8M08U
6/17/2016,90,DAABTJBLK
3/2/2017,96,DAZVNNVXQ
6/13/2017,90,DAN10ZQ70
3/25/2016,97,DASROEZXU
12/8/2015,94,DAGIMJVOM
2/17/2016,99,DASCB83BB
10/25/2017,96,DAUGDJNMS
7/28/2015,94,DATPWDBBK
12/1/2015,91,DA0GS5RJT
7/28/2015,91,DASNAYEVL
6/3/2016,95,DAYMMUEYW
3/2/2017,98,DAQBPA7EW
3/4/2016,92,DA5IPEOK9
7/27/2016,92,DAD5R10IC
10/12/2016,86,DAOODQBO5
12/28/2017,96,DAMG3RMGS
2/22/2016,93,DAHAIRJEK
9/20/2017,92,DABCXITAP
1/31/2017,91,DALC4XNDL
3/9/2016,98,DACNSRC0G
9/26/2017,97,DA05CMGT2
9/13/2017,95,DARQHMTWD
1/11/2017,92,DANU6DW6Y
12/7/2016,95,DAGTZF9DS
11/9/2015,97,DAFWZTWGH
9/14/2017,71,DA5UJDF9R
11/13/2017,98,DAQKDQX46
10/11/2017,98,DAG9E0UHN
11/16/2017,95,DAMDHFQPD
8/3/2016,94,DATP0XHD2
3/1/2017,92,DAAMNUQ0A
4/15/2016,96,DALT0WKBG
7/31/2017,99,DAZS0UXKQ
12/28/2017,95,DAHKJFBMR
2/18/2016,99,DAIMZZKX5
12/9/2016,98,DAGFH5EKE
5/11/2016,91,DAHWSXY2U
6/19/2017,90,DA3F1LZS5
12/22/2017,98,DAQTCSRGU
10/1/2015,98,DABEQPIMT
4/11/2017,96,DAP9ZP0FA
3/29/2017,91,DAPIAY1NY
11/3/2016,100,DANHUNWQ6
11/28/2017,92,DAU8EICKG
7/10/2017,91,DAJRQWF8E
10/26/2016,90,DAEWU9HDY
3/17/2016,96,DANYQ2RCL
11/16/2015,97,DADUTGYNJ
2/16/2016,95,DAOKG2PMI
5/24/2017,98,DAKA5J3KK
1/13/2016,97,DAGGZX0CB
8/27/2015,90,DA0Y027J1
8/1/2017,92,DAN2N7USZ
12/22/2015,96,DAHGICWQZ
3/15/2017,91,DAMS2USDG
2/10/2016,99,DAGX0SBID
8/4/2016,100,DAW8EUYE7
11/1/2017,81,DAYUTD2BF
1/7/2016,96,DA3QVA9KP
6/15/2016,94,DAMUYGZA6
9/12/2017,91,DAK0XPB4R
12/20/2016,91,DAO18YZVD
4/25/2016,91,DAAC51QSN
10/14/2016,93,DALTXBXID
11/29/2017,95,DAS628OSS
8/12/2015,97,DAQQXQ0U3
9/28/2016,90,DA9NQSFKX
3/23/2016,90,DAG0I0NL9
8/23/2017,99,DAZTABWGS
3/18/2016,94,DANWKXFTE
5/5/2017,80,DAC0UHMZC
6/27/2017,90,DAB7EFZ6L
5/23/2016,98,DAGAXOW8H
9/29/2015,91,DA97BMYSS
12/27/2017,90,DABISU1YV
1/19/2016,91,DANRZPCKO
5/18/2017,94,DAOY1HPPG
10/4/2017,95,DAAOJVLIV
2/23/2016,93,DAIZQZZVF
1/30/2017,99,DA0OYBHDL
8/5/2015,90,DA97S6VOB
3/3/2016,93,DAIYH5SEP
2/8/2017,90,DAVPGWYZR
12/13/2017,95,DAZ2OBCFI
5/2/2017,97,DAMNMULY2
4/11/2016,95,DARQLSDWL
5/31/2016,90,DAI0LG6DT
7/8/2016,94,DAROMEPYW
3/22/2016,93,DAVDBCUBX
12/27/2017,97,DAUGR2C8P
9/10/2015,94,DAABBISC8
1/19/2016,95,DAQZN70ME
2/15/2017,96,DA13QVTMY
8/21/2015,98,DABHJK2CX
6/22/2017,86,DASA0EPYE
11/29/2017,93,DAO8WQZTI
10/23/2017,95,DAFKX40A4
5/26/2016,95,DA2AB650V
7/24/2017,92,DA8G71KZJ
4/12/2017,93,DAXGRGL21
11/7/2017,100,DAIFAAU7G
2/27/2017,98,DAYG2KIAP
2/5/2016,96,DARAOLLKA
11/30/2017,90,DA9ZH6X7M
9/10/2016,90,DAR0I0FPY
7/20/2017,100,DA5GUED0N
8/23/2016,93,DA1P22X5T
3/3/2016,93,DAJ0F1OMR
8/4/2017,99,DA0I7EZSA
8/15/2017,90,DAXLOWJPE
8/15/2016,96,DAMUZUD0Y
6/23/2016,94,DAPT34YZ1
10/13/2016,95,DAMADJ72Y
8/27/2015,95,DAOQHGVGH
12/10/2015,91,DA9C9GAQ0
8/9/2017,97,DAAOTLA0H
7/25/2016,90,DAKQILSCU
9/27/2016,94,DA5GK0JOJ
10/30/2017,98,DA7FRD52Y
11/28/2016,90,DASXHTLER
11/9/2016,90,DA9EGQKR6
10/30/2017,92,DACZEQY21
10/31/2017,80,DAGXL0J80
8/9/2016,98,DAOO9IT7Z
9/21/2017,96,DAW0SYP3Q
7/29/2016,98,DAFH2T0YP
4/19/2017,96,DAID0AFT0
7/13/2017,82,DACQGO90A
8/4/2015,83,DAMJAVAWE
12/8/2015,92,DAJFJ0BJV
7/13/2017,91,DAI0GITBY
2/11/2016,91,DAM5GOZ0B
8/29/2016,92,DATLW65X4
2/8/2017,96,DA1Y0YAFM
2/24/2016,96,DAGVDW9WL
10/26/2017,98,DAZO5Z0M6
7/26/2017,93,DAYYHFX10
1/9/2017,97,DAW36PUU9
12/10/2015,98,DAE2GQCJZ
3/6/2017,97,DAIG8WRDS
5/2/2017,94,DA0BPWJ58
3/4/2016,96,DAFMSTONF
3/29/2017,90,DAE0ZFXIG
10/4/2017,95,DA2OTETLW
7/13/2015,90,DAU2OCBTW
9/30/2015,90,DARCMPHPR
3/22/2016,94,DA6ON7YT8
9/1/2017,96,DAOLHXNZ0
8/10/2017,95,DAMJHYYVS
12/8/2015,94,DAYPVFEH6
6/22/2016,95,DAADXDDTI
8/12/2015,96,DACAPYUZP
3/13/2017,95,DAR0YBUDQ
8/9/2016,90,DAITCHFVH
4/21/2017,94,DA8YDSSE6
12/12/2016,90,DAYE8ZHY4
6/22/2016,95,DAQWZHKKO
6/27/2017,95,DAB8XTJ9A
12/8/2016,97,DAG4FPYO0
9/21/2016,94,DAOJXPFBI
12/7/2015,93,DADAIIREU
10/21/2016,95,DAMXISQQH
9/19/2017,92,DAOEIITY0
11/20/2015,97,DA05YTISN
12/20/2016,96,DAZ32KYH7
9/8/2015,92,DALLD6TGQ
10/6/2017,90,DAU6FQTC0
12/2/2015,96,DA0KXKJZU
6/27/2017,96,DANTMF0AE
10/12/2016,97,DAZYAHKBS
5/15/2017,93,DA0850443
2/1/2017,93,DAQGNTBIK
11/20/2017,93,DAYTBEFLM
4/12/2016,91,DAGIB0KCF
10/18/2016,93,DA8XCBPDM
3/23/2016,96,DA0530970
6/5/2017,80,DARNBMAX7
12/16/2015,98,DAQZNVJ0D
9/30/2015,95,DAW9QBALB
12/27/2016,91,DAKSX70DS
10/30/2017,94,DA2PDLSMR
9/1/2015,96,DAFMPPCMC
10/29/2015,92,DAU6IYPDG
8/24/2016,92,DAJQ20QTC
1/19/2016,90,DAK8BN34V
6/14/2017,95,DACZY70T0
11/4/2016,94,DAB9SOVQQ
8/1/2016,96,DA22RRB09
2/16/2016,90,DAK20VEND
12/15/2015,96,DAYW9XOXV
3/29/2016,94,DA0MMFWLE
11/7/2016,97,DAFC0DCRV
11/10/2016,95,DAASRFTOM
10/27/2015,97,DAXL9WICM
5/25/2017,97,DADQ8YD0E
9/14/2017,91,DADLFTAWG
9/17/2015,95,DA5RND06V
8/24/2016,98,DA4UL36I2
1/23/2017,95,DA3CQOKII
4/12/2017,99,DA0827872
12/22/2015,96,DAGEFG8CS
9/24/2015,95,DANXCRQFU
4/25/2017,97,DARDBWZQE
12/20/2016,91,DA0XYLXPK
4/5/2017,92,DAYXESK5T
3/30/2016,97,DAS69UEKU
1/29/2016,96,DAPCEFJQP
8/25/2015,87,DAEF8CCMP
9/17/2015,86,DAPMBMDHZ
4/19/2016,92,DAJYN81IU
12/14/2016,92,DAPRGAWWU
10/30/2017,92,DAFWCTUH7
10/28/2016,90,DAR26V0J3
4/7/2016,95,DAPFPGKAK
5/25/2016,76,DAYUB0PYG
3/17/2016,98,DA0526870
2/24/2016,87,DA8KGKLRQ
1/26/2016,92,DAAJNQPGS
1/20/2016,96,DAXX4PYKI
8/27/2015,98,DAC5KTNQP
6/16/2017,90,DAREZOKWC
5/24/2017,95,DATW1YDEZ
3/15/2017,90,DACOROX6G
11/19/2015,84,DAI20AOED
10/4/2017,96,DASGHV7GH
8/24/2017,95,DA0QAPIPB
11/2/2016,90,DAS0LGMCJ
5/31/2016,93,DA8CMAVSQ
6/30/2016,94,DAHQ0ITWW
12/20/2017,95,DATLBCJE9
8/9/2016,98,DATP9PMAU
12/4/2017,94,DAOFO18PT
10/17/2016,90,DALJ0WTGH
12/10/2015,91,DAQDBS8HZ
9/8/2017,92,DASNEJQRR
8/6/2015,95,DAYPIJDQX
5/10/2017,96,DAJ208INU
9/6/2016,96,DA0WE090F
11/2/2016,91,DA7SJ4KHF
8/24/2015,97,DAMVX3ZZO
8/27/2015,86,DASEZZPZ2
9/19/2017,90,DA39Q7CPU
1/19/2016,95,DA4NKAMEQ
2/3/2016,92,DAA3V4ZG9
7/24/2017,96,DA7G8UKAU
8/22/2017,90,DAEMWJ84P
2/25/2016,82,DAREAHBLY
3/24/2016,93,DA0G0YBZN
10/14/2015,95,DA3ETTIU8
7/13/2016,95,DACPAFHSB
5/2/2016,93,DAW3VL05H
7/20/2016,92,DAQTTKAIP
12/20/2016,92,DA5X2JV3F
4/26/2016,97,DAFZ8DLQY
9/6/2016,90,DAXGKMXQB
11/15/2016,99,DAHIZ99BQ
8/12/2015,95,DAKSKDQAQ
9/6/2017,90,DADKAYYBM
6/14/2016,96,DAS76LIB7
6/19/2017,97,DACARGOOM
10/31/2017,93,DACD5MID0
2/22/2017,99,DAMJ0CPAD
5/5/2016,92,DA6ZONYMA
3/22/2017,93,DAE5DVMGP
7/29/2015,91,DABTDVB3Y
12/27/2017,97,DA5OIXB0Z
2/6/2017,99,DAVZCWMIP
8/28/2015,93,DA30UP06N
1/29/2016,98,DAEEDPCXR
9/17/2016,97,DAHJ5LGZV
10/27/2016,97,DA96B3BLJ
2/13/2017,98,DASKHOKCX
4/6/2016,93,DA8KIRYUT
3/2/2017,91,DARWXFCCW
11/14/2016,99,DAJ0EPGPW
2/10/2016,98,DAOTPAUGS
9/14/2017,92,DADWMUHN8
11/8/2016,98,DA0RAZK3T
5/23/2016,92,DAKFR0ARH
8/23/2016,98,DAK1WMDW0
7/1/2015,94,DA0EUDHJY
9/19/2017,94,DAHGDIDSG
6/7/2017,100,DADOR9DW0
12/14/2017,91,DAKK6UBIP
5/9/2017,97,DABPFDVYM
9/14/2016,91,DAHNGL9AL
12/13/2017,95,DABLWOIJC
11/13/2017,91,DAAP5IG0C
10/27/2015,95,DAVJQVHHJ
2/17/2016,97,DANWZQJVM
4/18/2017,98,DARDAXV1O
6/12/2017,94,DAZPS1BL9
4/20/2016,94,DAF9QKNRS
7/26/2017,92,DALI1DYON
5/2/2017,96,DA2A2CCND
9/23/2015,92,DAIYCKTSD
9/9/2015,96,DAXFJ24PV
9/29/2015,90,DAJ7IR20Q
7/22/2015,100,DA6EUINSU
9/16/2015,90,DAB6AV235
3/7/2016,96,DAH5RWKO0
5/17/2016,99,DAVWW4FXI
2/24/2016,93,DARMIGTDP
11/1/2016,94,DAFBTHGB9
1/15/2016,93,DANZUANGP
1/13/2016,100,DA0508833
9/28/2015,94,DAAN3C606
3/25/2016,94,DAB6FP12S
11/15/2016,99,DAWLW0AWL
7/6/2017,93,DAUBS0K8M
8/16/2016,99,DAKW1LE1M
7/15/2015,90,DAC2GXJCY
6/2/2016,92,DARKWQ0RO
4/11/2017,92,DAZMCOKYB
8/21/2015,93,DAXH7SOPM
1/7/2016,97,DASMDFIUK
6/15/2017,97,DAKRY31ZX
9/19/2017,90,DAB6RGOTD
7/31/2015,97,DAPQ3SLCK
4/7/2016,91,DAEXNBTTA
5/16/2017,98,DA9WDBR0L
12/15/2016,97,DAPOAYMZE
12/7/2016,91,DAI6VNFTX
3/14/2017,96,DAQI22YCI
3/2/2017,97,DAHR57T0T
8/2/2016,92,DAH5F070H
5/23/2017,98,DA6YMYVP0
9/14/2017,70,DAAM0E2GG
4/19/2017,98,DA0830216
11/28/2017,90,DAHONR1YQ
1/19/2016,98,DAKQKTSUW
7/11/2017,94,DAE0WNA6T
4/6/2016,91,DAXP7SPZR
11/9/2016,97,DAWG17CK7
5/24/2016,93,DA2LZHQAI
5/4/2017,92,DAQWZ6DVV
8/2/2016,100,DAKWT4IXO
11/16/2015,100,DACGOLUYJ
4/27/2017,99,DAFCIEBAL
12/7/2015,90,DAJRFIMQX
11/13/2017,93,DAOW98UO0
1/14/2016,90,DANMGB30B
6/26/2017,94,DALTP5B5L
3/23/2016,93,DAH8ZABFK
8/10/2017,90,DAV6CYT3H
7/22/2015,90,DA0CVDNHZ
8/9/2016,90,DAS2KSEQC
12/13/2016,91,DA20GPH5M
12/16/2015,93,DAB3HCHNH
12/4/2015,94,DA4LNCOZY
10/14/2015,90,DADPWISEF
